Location,County/Zone,St.,Date,Time,T.Z.,Type,Mag,Dth,Inj,PrD,CrD
SELMA,DELAWARE CO.,IN,03/14/2024,18:34,EST-5,Tornado,EF2,0,0,4.000M,0.00K
FARMLAND,RANDOLPH CO.,IN,03/14/2024,18:50,EST-5,Tornado,EF3,1,37,25.000M,0.00K
FRYBURG,AUGLAIZE CO.,OH,03/14/2024,18:29,EST-5,Tornado,EF3,0,2,1.000M,0.00K
LAKEVIEW VAN HORN AR,LOGAN CO.,OH,03/14/2024,18:43,EST-5,Tornado,EF3,3,25,5.000M,0.00K
NEW WASHINGTON,CRAWFORD CO.,OH,03/14/2024,18:54,EST-5,Tornado,EF2,0,0,300.00K,0.00K
NEW PITTSBURGH,RICHLAND CO.,OH,03/14/2024,19:01,EST-5,Tornado,EF2,0,0,150.00K,0.00K
LUNDA,UNION CO.,OH,03/14/2024,19:24,EST-5,Tornado,EF2,0,0,500.00K,0.00K
BRADFORD,MIAMI CO.,OH,03/14/2024,19:52,EST-5,Tornado,EF2,0,0,750.00K,0.00K
NEILSON,WILLIAMSON CO.,IL,04/02/2024,3:46,CST-6,Tornado,EF2,0,0,300.00K,0.00K
GRAYSON,SALINE CO.,IL,04/02/2024,4:15,CST-6,Tornado,EF2,0,2,225.00K,0.00K
SAVAH,POSEY CO.,IN,04/02/2024,4:33,CST-6,Tornado,EF2,0,0,130.00K,0.00K
NEW HARMONY,POSEY CO.,IN,04/02/2024,4:37,CST-6,Tornado,EF2,0,0,250.00K,0.00K
WADESVILLE,POSEY CO.,IN,04/02/2024,4:47,CST-6,Tornado,EF2,0,0,150.00K,0.00K
MARTIN,VANDERBURGH CO.,IN,04/02/2024,4:47,CST-6,Tornado,EF2,0,0,500.00K,0.00K
ST WENDELLS,VANDERBURGH CO.,IN,04/02/2024,4:48,CST-6,Tornado,EF2,0,0,275.00K,0.00K
LEO,JACKSON CO.,OH,04/02/2024,19:47,EST-5,Tornado,EF2,0,0,20.00K,0.00K
SALEM,HENRY CO.,IA,04/16/2024,15:34,CST-6,Tornado,EF2,0,0,0.00K,0.00K
PLEASANTGROVE,DES MOINES CO.,IA,04/16/2024,15:52,CST-6,Tornado,EF2,0,0,0.00K,0.00K
CARTER LAKE,POTTAWATTAMIE CO.,IA,04/26/2024,16:01,CST-6,Tornado,EF3,0,0,0.00K,0.00K
DUMFRIES,POTTAWATTAMIE CO.,IA,04/26/2024,16:08,CST-6,Tornado,EF3,0,0,0.00K,0.00K
MC CLELLAND,POTTAWATTAMIE CO.,IA,04/26/2024,16:25,CST-6,Tornado,EF3,1,3,0.00K,0.00K
SHELBY,SHELBY CO.,IA,04/26/2024,16:47,CST-6,Tornado,EF3,0,0,0.00K,0.00K
ASTOR,CRAWFORD CO.,IA,04/26/2024,17:29,CST-6,Tornado,EF2,0,0,50.00K,0.00K
CROMWELL,UNION CO.,IA,04/26/2024,17:55,CST-6,Tornado,EF2,0,0,300.00K,0.00K
AFTON,UNION CO.,IA,04/26/2024,18:19,CST-6,Tornado,EF2,0,0,100.00K,0.00K
AFTON,UNION CO.,IA,04/26/2024,18:51,CST-6,Tornado,EF2,0,0,500.00K,0.00K
DIAGONAL,RINGGOLD CO.,IA,04/26/2024,19:19,CST-6,Tornado,EF2,0,0,350.00K,0.00K
OSCEOLA,CLARKE CO.,IA,04/26/2024,19:31,CST-6,Tornado,EF2,0,0,400.00K,0.00K
FT DES MOINES,POLK CO.,IA,04/26/2024,19:50,CST-6,Tornado,EF2,0,1,1.500M,0.00K
FARWELL,HOWARD CO.,NE,04/26/2024,11:58,CST-6,Tornado,EF3,0,0,3.500M,0.00K
ELBA,HOWARD CO.,NE,04/26/2024,12:32,CST-6,Tornado,EF2,0,0,400.00K,0.00K
WOLBACH,GREELEY CO.,NE,04/26/2024,12:45,CST-6,Tornado,EF2,0,0,400.00K,0.00K
WOLBACH,GREELEY CO.,NE,04/26/2024,13:04,CST-6,Tornado,EF2,0,0,25.00K,0.00K
CEDAR RAPIDS ARPT,BOONE CO.,NE,04/26/2024,13:15,CST-6,Tornado,EF2,0,0,0.00K,0.00K
HAVELOCK,LANCASTER CO.,NE,04/26/2024,13:52,CST-6,Tornado,EF3,0,3,0.00K,0.00K
WATERLOO,DOUGLAS CO.,NE,04/26/2024,14:30,CST-6,Tornado,EF4,0,3,0.00K,0.00K
WASHINGTON,WASHINGTON CO.,NE,04/26/2024,14:57,CST-6,Tornado,EF4,0,1,0.00K,0.00K
(OMA)EPPLEY FLD OMAH,DOUGLAS CO.,NE,04/26/2024,15:57,CST-6,Tornado,EF2,0,0,0.00K,0.00K
CENTREVILLE,ST. JOSEPH CO.,MI,05/07/2024,16:41,EST-5,Tornado,EF2,0,1,0.00K,0.00K
TEXAS CORNERS,KALAMAZOO CO.,MI,05/07/2024,16:55,EST-5,Tornado,EF2,0,12,50.000M,0.00K
SHERWOOD,BRANCH CO.,MI,05/07/2024,17:00,EST-5,Tornado,EF2,0,0,0.00K,0.00K
FT RECOVERY,MERCER CO.,OH,05/07/2024,18:50,EST-5,Tornado,EF2,0,0,50.00K,0.00K
LOCK TWO,AUGLAIZE CO.,OH,05/07/2024,19:25,EST-5,Tornado,EF2,0,0,300.00K,0.00K
IRONDALE,JEFFERSON CO.,OH,05/07/2024,23:54,EST-5,Tornado,EF2,0,0,0.00K,0.00K
VILLISCA,MONTGOMERY CO.,IA,05/21/2024,13:50,CST-6,Tornado,EF2,0,0,0.00K,0.00K
NODAWAY,ADAMS CO.,IA,05/21/2024,14:00,CST-6,Tornado,EF3,1,0,1.800M,0.00K
DICKIEVILLE,ADAMS CO.,IA,05/21/2024,14:03,CST-6,Tornado,EF3,0,0,1.000M,0.00K
FISK,ADAIR CO.,IA,05/21/2024,14:27,CST-6,Tornado,EF4,4,35,30.000M,0.00K
GREENFIELD,ADAIR CO.,IA,05/21/2024,14:39,CST-6,Tornado,EF2,0,0,750.00K,0.00K
RIDER,POLK CO.,IA,05/21/2024,15:30,CST-6,Tornado,EF2,0,2,5.200M,0.00K
CAMBRIDGE,STORY CO.,IA,05/21/2024,15:45,CST-6,Tornado,EF2,0,2,3.200M,0.00K
LAKE MC CONAGHY,KEITH CO.,NE,05/23/2024,16:39,MST-7,Tornado,EF2,0,0,3.500M,0.00K
GOREVILLE,JOHNSON CO.,IL,05/26/2024,17:38,CST-6,Tornado,EF3,0,1,750.00K,0.00K
OSKALOOSA,CLAY CO.,IL,05/26/2024,18:35,CST-6,Tornado,EF2,0,0,10.000M,0.00K
DECKER,KNOX CO.,IN,05/26/2024,20:49,EST-5,Tornado,EF2,0,0,700.00K,0.00K
TUCKER,RIPLEY CO.,MO,05/26/2024,5:12,CST-6,Tornado,EF2,0,0,575.00K,0.00K
DEXTER,STODDARD CO.,MO,05/26/2024,6:07,CST-6,Tornado,EF2,0,0,125.00K,0.00K
MOREHOUSE,NEW MADRID CO.,MO,05/26/2024,6:16,CST-6,Tornado,EF3,0,0,350.00K,0.00K
TANNER,SCOTT CO.,MO,5/26/2024,6:21,CST-6,Tornado,EF2,0,0,90.00K,0.00K
SIKESTON,SCOTT CO.,MO,5/26/2024,6:25,CST-6,Tornado,EF2,0,0,1.400M,0.00K
TRASK,HOWELL CO.,MO,5/26/2024,16:39,CST-6,Tornado,EF3,0,5,1.500M,0.00K
TERESITA,SHANNON CO.,MO,5/26/2024,16:53,CST-6,Tornado,EF3,0,0,50.00K,0.00K
BARTLETT,SHANNON CO.,MO,5/26/2024,17:12,CST-6,Tornado,EF2,0,0,75.00K,0.00K
MAURINE,MEADE CO.,SD,06/02/2024,14:16,MST-7,Tornado,EF2,0,0,30.00K,0.00K
FRAYSZEBURG,MUSKINGUM CO.,OH,06/05/2024,23:37,EST-5,Tornado,EF2,0,8,0.00K,0.00K
ARNOLD,CUSTER CO.,NE,06/07/2024,16:19,CST-6,Tornado,EF2,0,0,80.00K,0.00K
JENKINS,CROW WING CO.,MN,06/12/2024,17:18,CST-6,Tornado,EF2,0,0,500.00K,0.00K
WOLFORD,CROW WING CO.,MN,06/12/2024,17:45,CST-6,Tornado,EF2,0,0,1.000M,0.00K
WHITMAN,GRANT CO.,NE,06/25/2024,19:47,MST-7,Tornado,EF3,0,1,0.00K,0.00K
MULLEN,HOOKER CO.,NE,06/25/2024,20:16,MST-7,Tornado,EF2,0,0,0.00K,0.00K
MT VERNON ARPT,POSEY CO.,IN,07/09/2024,15:18,CST-6,Tornado,EF3,0,0,1.100M,0.00K
