Location,County/Zone,St.,Date,Time,T.Z.,Type,Mag,Dth,Inj,PrD,CrD
NEMAHA CO.,NEMAHA CO.,NE,05/08/1995,19:30,CST,Tornado,F2,0,0,450.00K,0.00K
Cantrall,LOGAN CO.,IL,05/09/1995,16:22,CST,Tornado,F3,0,6,10.000M,0.00K
Rapids City,ROCK ISLAND AND WHITESID...,IL,05/09/1995,16:26,CST,Tornado,F3,0,0,200.00K,0.00K
Albany,CARROLL CO.,IL,5/9/1995,17:01,CST,Tornado,F3,0,0,2.000M,0.00K
Neponset,BUREAU CO.,IL,05/09/1995,17:01,CST,Tornado,F3,0,0,3.000M,0.00K
Cedar Bluff,CEDAR CO.,IA,05/09/1995,15:11,CST,Tornado,F2,0,0,500.00K,0.00K
Stockton,SCOTT CO.,IA,05/09/1995,15:29,CST,Tornado,F3,0,0,3.000M,0.00K
Stockton to,MUSCATINE CO.,IA,05/09/1995,15:55,CST,Tornado,F3,0,0,650.00K,0.00K
Niota,"HANCOCK, HENDERSON AND W...",IL,05/13/1995,15:18,CST,Tornado,F4,0,7,10.000M,0.00K
St Augustine,KNOX CO.,IL,05/13/1995,16:18,CST,Tornado,F2,0,2,1.600M,0.00K
Ipava to,FULTON CO.,IL,05/13/1995,16:55,CST,Tornado,F4,0,45,6.000M,0.00K
Tremont,TAZEWELL CO.,IL,05/13/1995,17:15,CST,Tornado,F3,0,25,4.000M,0.00K
Crawfordsville,MONTGOMERY CO.,IN,05/13/1995,23:58,EST,Tornado,F2,3,5,3.500M,0.00K
Arbela to,CLARK CO.,MO,05/13/1995,14:20,CST,Tornado,F2,0,3,630.00K,0.00K
Lebanon,BOONE CO.,IN,05/14/1995,0:08,EST,Tornado,F2,0,5,2.000M,0.00K
Indianapolis,MARION CO.,IN,05/14/1995,0:47,EST,Tornado,F2,0,0,400.00K,0.00K
Nevada,VERNON CO.,MO,05/17/1995,8:34,CST,Tornado,F3,0,9,7.000M,0.00K
Monroe City to,MONROE CO.,IL,05/18/1995,11:40,CST,Tornado,F2,0,0,75.00K,0.00K
Burksville to,MONROE CO.,IL,05/18/1995,11:46,CST,Tornado,F2,0,0,110.00K,0.00K
Festus to,STE. GENEVIEVE CO.,MO,05/18/1995,11:05,CST,Tornado,F2,0,3,195.00K,0.00K
MADRID-ELSIE,PERKINS CO.,NE,5/21/1995,16:33,CST,Tornado,F2,0,0,350.00K,0.00K
Carroll to,"CARROLL, SAC, CALHOUN AN...",IA,05/27/1995,18:22,CST,Tornado,F4,0,0,3.000M,43.00K
Creston to,"UNION, ADAIR, GUTHRIE AN...",IA,05/27/1995,18:55,CST,Tornado,F4,0,2,3.000M,80.00K
Bayard,"GUTHRIE, GREENE AND CARR...",IA,05/27/1995,18:56,CST,Tornado,F4,0,1,2.000M,22.00K
Dedham to,CARROLL CO.,IA,05/27/1995,19:28,CST,Tornado,F2,0,0,300.00K,6.00K
Lamoni to,DECATUR AND CLARKE CO.,IA,05/27/1995,21:04,CST,Tornado,F3,0,0,200.00K,12.00K
Moberly,RANDOLPH CO.,MO,07/04/1995,17:40,CST,Tornado,F3,0,0,400.00K,0.00K
Alger,ARENAC CO.,MI,07/13/1995,16:15,EDT,Tornado,F2,0,0,0.00K,0.00K
Long Siding,MILLE LACS CO.,MN,07/21/1995,18:04,CST,Tornado,F2,0,0,0.00K,0.00K
Lamont to,BUCHANAN AND DELAWARE CO.,IA,07/27/1995,14:50,CST,Tornado,F3,0,0,1.000M,330.00K
Elwood to,CLINTON CO.,IA,07/27/1995,16:28,CST,Tornado,F2,0,0,200.00K,150.00K
Dixon to,SCOTT CO.,IA,07/27/1995,16:42,CST,Tornado,F2,0,0,10.00K,70.00K
Atalissa to,CEDAR CO.,IA,07/27/1995,18:51,CST,Tornado,F2,0,0,500.00K,60.00K
Adams,MOWER CO.,MN,07/27/1995,10:50,CST,Tornado,F2,0,0,0.00K,5.000M
Lebanon to,LACLEDE CO.,MO,11/10/1995,16:50,CST,Tornado,F2,0,0,3.000M,0.00K
BATH,MASON CO.,IL,04/19/1996,17:07,CST,Tornado,F2,0,1,0.00K,0.00K
JACKSONVILLE,MORGAN CO.,IL,04/19/1996,17:18,CST,Tornado,F2,0,1,400.00K,0.00K
BISHOP HILL,HENRY CO.,IL,04/19/1996,18:00,CST,Tornado,F3,0,4,10.000M,0.00K
ARMINGTON,TAZEWELL CO.,IL,04/19/1996,18:00,CST,Tornado,F2,0,0,1.000M,0.00K
MC LEAN,MCLEAN CO.,IL,04/19/1996,18:09,CST,Tornado,F3,0,0,1.000M,0.00K
NIANTIC,MACON CO.,IL,04/19/1996,18:22,CST,Tornado,F3,0,29,9.000M,0.00K
ODIN,MARION CO.,IL,04/19/1996,18:35,CST,Tornado,F2,0,7,7.000M,0.00K
SAVOY,CHAMPAIGN CO.,IL,04/19/1996,19:34,CST,Tornado,F3,0,12,9.000M,0.00K
OGDEN,CHAMPAIGN CO.,IL,04/19/1996,19:55,CST,Tornado,F3,1,13,0.00K,0.00K
INA,JEFFERSON CO.,IL,04/19/1996,20:15,CST,Tornado,F3,0,0,200.00K,0.00K
PIOPOLIS,HAMILTON CO.,IL,04/19/1996,20:18,CST,Tornado,F3,0,0,2.800M,0.00K
BARNHILL,WAYNE CO.,IL,04/19/1996,20:28,CST,Tornado,F3,0,0,200.00K,0.00K
ZION,LAKE CO.,IL,04/19/1996,22:32,CST,Tornado,F2,0,2,6.600M,0.00K
YANKEETOWN,WARRICK CO.,IN,04/19/1996,22:40,CST,Tornado,F2,0,0,500.00K,0.00K
ARTHUR,PIKE CO.,IN,4/19/1996,22:42,CST,Tornado,F2,0,0,200.00K,0.00K
PERRYVILLE,PERRY CO.,MO,04/19/1996,20:30,CST,Tornado,F3,0,0,5.000M,0.00K
DONIPHAN,RIPLEY CO.,MO,04/19/1996,21:00,CST,Tornado,F2,0,0,100.00K,0.00K
POPLAR BLUFF,BUTLER CO.,MO,04/19/1996,21:05,CST,Tornado,F2,0,0,300.00K,0.00K
GREENVILLE,FLOYD CO.,IN,4/20/1996,1:08,EST,Tornado,F2,0,1,250.00K,0.00K
SEYMOUR,JACKSON CO.,IN,5/8/1996,15:55,EST,Tornado,F2,0,0,1.300M,0.00K
BEATRICE,GAGE CO.,NE,5/8/1996,19:44,CST,Tornado,F2,0,15,12.000M,0.00K
CLINTON,BIG STONE CO.,MN,05/17/1996,17:05,CST,Tornado,F3,0,0,1.500M,0.00K
LEAVENWORTH,HARRISON CO.,IN,5/28/1996,16:55,EST,Tornado,F2,0,0,0.00K,0.00K
ABERDEEN,BROWN CO.,SD,05/31/1996,16:52,CST,Tornado,F3,0,1,750.00K,0.00K
AMHERST,MARSHALL CO.,SD,05/31/1996,17:40,CST,Tornado,F3,0,0,0.00K,0.00K
HITTERDAL,CLAY CO.,MN,06/05/1996,16:05,CST,Tornado,F2,0,0,250.00K,50.00K
O NEILL,HOLT CO.,NE,6/19/1996,13:28,CST,Tornado,F2,0,0,1.000M,0.00K
FRANKENMUTH,SAGINAW CO.,MI,06/21/1996,22:02,EST,Tornado,F3,0,0,5.000M,0.00K
YALE,ST. CLAIR CO.,MI,06/22/1996,0:00,EST,Tornado,F2,0,0,25.00K,0.00K
PIERPONT,DAY CO.,SD,07/17/1996,18:52,CST,Tornado,F2,0,0,200.00K,0.00K
INDIANOLA,RED WILLOW CO.,NE,08/10/1996,19:25,CST,Tornado,F2,0,0,750.00K,0.00K
ALEXANDRIA,DOUGLAS CO.,MN,10/26/1996,15:15,CST,Tornado,F2,0,4,0.00K,0.00K
HENNING,OTTER TAIL CO.,MN,10/26/1996,16:10,CST,Tornado,F2,0,1,400.00K,0.00K
ALBANY,STEARNS CO.,MN,10/26/1996,16:17,CST,Tornado,F2,0,3,0.00K,0.00K
SEBEKA,WADENA CO.,MN,10/26/1996,16:30,CST,Tornado,F2,0,0,750.00K,0.00K
BRAINERD,CROW WING CO.,MN,10/26/1996,18:00,CST,Tornado,F2,0,0,50.00K,0.00K
LINDENHURST,LAKE CO.,IL,05/18/1997,18:18,CST,Tornado,F2,0,0,0.00K,0.00K
GREENBUSH,ROSEAU CO.,MN,06/27/1997,15:35,CST,Tornado,F2,0,1,250.00K,0.00K
HOWARD LAKE,WRIGHT CO.,MN,07/01/1997,17:43,CST,Tornado,F3,0,0,0.00K,0.00K
MONTICELLO,WRIGHT CO.,MN,07/01/1997,18:10,CST,Tornado,F2,0,0,0.00K,0.00K
MONTICELLO,WRIGHT CO.,MN,07/01/1997,18:10,CST,Tornado,F2,0,0,0.00K,0.00K
ANDERSON,MADISON CO.,IN,07/02/1997,15:40,EST,Tornado,F2,0,0,600.00K,10.00K
CLIO,GENESEE CO.,MI,07/02/1997,15:30,EST,Tornado,F3,0,0,600.00K,0.00K
CLIO,GENESEE CO.,MI,07/02/1997,15:45,EST,Tornado,F3,1,1,3.800M,0.00K
HIGHLAND PARK,WAYNE CO.,MI,07/02/1997,17:00,EST,Tornado,F2,0,90,90.000M,0.00K
NEW JASPER,GREENE CO.,OH,07/02/1997,18:00,EST,Tornado,F2,0,0,50.00K,0.00K
MOSCOW,CLERMONT CO.,OH,07/02/1997,19:30,EST,Tornado,F3,0,0,2.000M,0.00K
GREENE,RENVILLE CO.,ND,07/23/1997,18:26,CST,Tornado,F2,1,2,46.00K,0.00K
LASTRUP,MORRISON CO.,MN,09/18/1997,17:15,CST,Tornado,F3,1,1,1.700M,0.00K
ONAMIA,MILLE LACS CO.,MN,09/18/1997,17:25,CST,Tornado,F3,0,0,0.00K,0.00K
WOODLAND,KANABEC CO.,MN,09/18/1997,18:03,CST,Tornado,F2,0,0,0.00K,0.00K
ROYALTON,MORRISON CO.,MN,09/18/1997,18:30,CST,Tornado,F2,0,0,0.00K,0.00K
MATTOON,COLES CO.,IL,03/28/1998,5:25,CST,Tornado,F2,0,3,3.000M,0.00K
LISMORE,NOBLES CO.,MN,03/29/1998,15:23,CST,Tornado,F2,0,0,400.00K,0.00K
ST KILLIAN,NOBLES CO.,MN,03/29/1998,15:35,CST,Tornado,F2,0,0,200.00K,0.00K
WESTBROOK,COTTONWOOD CO.,MN,03/29/1998,15:55,CST,Tornado,F3,0,3,30.000M,0.00K
DARFUR,WATONWAN CO.,MN,03/29/1998,16:28,CST,Tornado,F4,0,0,0.00K,0.00K
COMFREY,BROWN CO.,MN,03/29/1998,16:30,CST,Tornado,F4,1,16,45.000M,0.00K
CAMBRIA,BLUE EARTH CO.,MN,03/29/1998,17:05,CST,Tornado,F4,0,0,0.00K,0.00K
COURTLAND,NICOLLET CO.,MN,03/29/1998,17:07,CST,Tornado,F4,0,0,0.00K,0.00K
NICOLLET,NICOLLET CO.,MN,03/29/1998,17:18,CST,Tornado,F3,1,0,120.000M,0.00K
OTTAWA,LE SUEUR CO.,MN,03/29/1998,17:35,CST,Tornado,F3,0,0,0.00K,0.00K
CLEVELAND,LE SUEUR CO.,MN,03/29/1998,17:48,CST,Tornado,F2,0,2,20.000M,0.00K
LONSDALE,RICE CO.,MN,03/29/1998,18:16,CST,Tornado,F2,0,0,20.000M,0.00K
CASTLE ROCK,DAKOTA CO.,MN,03/29/1998,18:25,CST,Tornado,F2,0,0,0.00K,0.00K
SNICARTE,MASON CO.,IL,04/07/1998,15:20,CST,Tornado,F2,0,0,0.00K,0.00K
SEPO,FULTON CO.,IL,04/07/1998,17:04,CST,Tornado,F2,0,0,0.00K,0.00K
CADWELL,MOULTRIE CO.,IL,04/07/1998,18:08,CST,Tornado,F2,0,4,100.00K,0.00K
ARTHUR,DOUGLAS CO.,IL,04/07/1998,18:11,CST,Tornado,F2,0,4,0.00K,0.00K
CRAVAT,JEFFERSON CO.,IL,04/15/1998,18:43,CST,Tornado,F2,0,1,400.00K,0.00K
WALNUT HILL,MARION CO.,IL,04/15/1998,18:49,CST,Tornado,F2,0,0,50.00K,0.00K
WALNUT HILL,MARION CO.,IL,04/15/1998,18:52,CST,Tornado,F2,0,0,0.00K,0.00K
FLORA,CLAY CO.,IL,04/15/1998,19:45,CST,Tornado,F2,0,8,2.100M,0.00K
CLAY CITY,CLAY CO.,IL,4/15/1998,20:00,CST,Tornado,F2,0,0,100.00K,0.00K
OTWELL,PIKE CO.,IN,04/15/1998,23:15,CST,Tornado,F2,0,0,500.00K,0.00K
ALGONA,KOSSUTH CO.,IA,05/15/1998,13:30,CST,Tornado,F2,0,0,1.000M,75.00K
WASHINGTON,WASHINGTON CO.,IA,05/15/1998,16:05,CST,Tornado,F3,0,28,9.000M,0.00K
HILLS,JOHNSON CO.,IA,05/15/1998,16:24,CST,Tornado,F3,0,17,6.000M,0.00K
DOWNEY,CEDAR CO.,IA,05/15/1998,17:06,CST,Tornado,F3,0,2,1.75K,0.00K
FAIRMONT,FILLMORE CO.,NE,05/15/1998,11:01,CST,Tornado,F2,0,0,750.00K,150.00K
MORRILL,SCOTTS BLUFF CO.,NE,05/21/1998,10:03,MST,Tornado,F2,0,0,15.00K,2.00K
COLERIDGE,CEDAR CO.,NE,05/28/1998,17:40,CST,Tornado,F2,0,1,0.00K,0.00K
FULTON,HANSON CO.,SD,05/30/1998,19:16,CST,Tornado,F2,0,0,50.00K,0.00K
FARMER,HANSON CO.,SD,05/30/1998,19:26,CST,Tornado,F3,0,0,1.000M,100.00K
SPENCER,MCCOOK CO.,SD,05/30/1998,19:38,CST,Tornado,F4,6,150,17.000M,400.00K
SALEM,MCCOOK CO.,SD,05/30/1998,19:56,CST,Tornado,F2,0,0,900.00K,100.00K
CUMBERLAND,MARION CO.,IN,06/11/1998,18:09,EST,Tornado,F3,0,3,1.500M,0.00K
GREENFIELD,HANCOCK CO.,IN,06/11/1998,18:20,EST,Tornado,F4,0,1,1.100M,0.00K
RIPLEY,PULASKI CO.,IN,06/11/1998,18:28,EST,Tornado,F2,0,1,1.000M,100.00K
EDEN,HANCOCK CO.,IN,06/11/1998,18:45,EST,Tornado,F2,0,0,400.00K,0.00K
MARKLEVILLE,MADISON CO.,IN,06/11/1998,18:50,EST,Tornado,F2,0,0,5.00K,0.00K
NEW CASTLE,HENRY CO.,IN,06/11/1998,18:57,EST,Tornado,F2,0,0,5.00K,0.00K
GREENTOWN,HOWARD CO.,IN,06/11/1998,19:03,EST,Tornado,F3,0,8,5.000M,0.00K
SEATON,MERCER CO.,IL,6/18/1998,16:10,CST,Tornado,F2,0,0,110.00K,0.00K
JESUP,BUCHANAN CO.,IA,06/18/1998,14:30,CST,Tornado,F2,0,0,800.00K,0.00K
WHITING,MONONA CO.,IA,06/23/1998,18:30,CST,Tornado,F2,0,0,0.00K,0.00K
COLUMBUS,PLATTE CO.,NE,06/23/1998,18:25,CST,Tornado,F2,0,17,4.000M,500.00K
SCHUYLER,COLFAX CO.,NE,06/23/1998,19:48,CST,Tornado,F2,0,0,0.00K,0.00K
PORT CLINTON,OTTAWA CO.,OH,06/24/1998,19:45,EST,Tornado,F2,0,13,20.000M,5.000M
THORNTON,CERRO GORDO CO.,IA,06/27/1998,18:46,CST,Tornado,F2,0,0,50.00K,2.00K
SWALEDALE,CERRO GORDO CO.,IA,06/27/1998,19:22,CST,Tornado,F2,0,0,125.00K,10.00K
AUSTINVILLE,BUTLER CO.,IA,06/27/1998,21:23,CST,Tornado,F2,0,0,10.00K,2.00K
WAVERLY,BREMER CO.,IA,06/27/1998,21:57,CST,Tornado,F2,0,0,3.00K,0.50K
SUMMERFIELD,NOBLE CO.,OH,06/27/1998,19:05,EST,Tornado,F2,1,1,75.00K,0.00K
DOW CITY,CRAWFORD CO.,IA,06/29/1998,11:52,CST,Tornado,F2,0,0,500.00K,50.00K
GRANGER,DALLAS CO.,IA,06/29/1998,12:27,CST,Tornado,F2,0,2,500.00K,20.00K
GRIMES,POLK CO.,IA,06/29/1998,12:41,CST,Tornado,F2,0,83,10.000M,75.00K
EDWARDSBURG,CASS CO.,MI,8/25/1998,1:10,EST,Tornado,F2,0,0,500.00K,0.00K
UTICA,LICKING CO.,OH,08/25/1998,14:45,EST,Tornado,F2,0,0,300.00K,0.00K
LOOMIS,PHELPS CO.,NE,10/16/1998,17:12,CST,Tornado,F2,0,0,400.00K,1.000M
ATKINSON,HOLT CO.,NE,10/28/1998,17:50,CST,Tornado,F2,0,0,50.00K,0.00K
COLUMBIA,BOONE CO.,MO,11/10/1998,1:58,CST,Tornado,F3,0,16,6.000M,0.00K
THEBES,ALEXANDER CO.,IL,01/21/1999,18:35,CST,Tornado,F2,0,0,150.00K,0.00K
REYNOLDSVILLE,UNION CO.,IL,01/21/1999,18:47,CST,Tornado,F2,0,0,20.00K,0.00K
GOLCONDA,POPE CO.,IL,01/22/1999,1:15,CST,Tornado,F2,0,0,800.00K,0.00K
MOZIER,CALHOUN CO.,IL,02/11/1999,14:04,CST,Tornado,F2,0,0,300.00K,0.00K
ANNADA,PIKE CO.,MO,02/11/1999,13:59,CST,Tornado,F2,0,0,200.00K,0.00K
GOOD HOPE,MCDONOUGH CO.,IL,04/05/1999,18:30,CST,Tornado,F2,0,0,5.50K,0.00K
SWAN CREEK,WARREN CO.,IL,04/05/1999,18:39,CST,Tornado,F2,0,0,3.00K,0.00K
WARSAW,HANCOCK CO.,IL,04/08/1999,17:35,CST,Tornado,F3,0,0,15.000M,0.00K
PIKE,PIKE CO.,IL,04/08/1999,18:35,CST,Tornado,F2,0,0,0.00K,0.00K
NEW MARKET,TAYLOR CO.,IA,4/8/1999,13:54,CST,Tornado,F2,0,0,500.00K,0.00K
NODAWAY,ADAMS CO.,IA,4/8/1999,13:57,CST,Tornado,F4,0,1,1.000M,0.00K
MASSENA,CASS CO.,IA,4/8/1999,14:16,CST,Tornado,F3,0,0,186.00K,0.00K
BRIDGEWATER,ADAIR CO.,IA,4/8/1999,14:23,CST,Tornado,F4,0,2,1.000M,0.00K
CRESTON,UNION CO.,IA,4/8/1999,14:48,CST,Tornado,F4,0,1,2.000M,0.00K
MACKSBURG,MADISON CO.,IA,04/08/1999,15:04,CST,Tornado,F2,0,0,350.00K,0.00K
DE SOTO,DALLAS CO.,IA,04/08/1999,15:35,CST,Tornado,F3,0,0,40.00K,0.00K
NEW VIRGINIA,WARREN CO.,IA,04/08/1999,16:13,CST,Tornado,F2,0,0,75.00K,0.00K
LUCAS,LUCAS CO.,IA,04/08/1999,16:18,CST,Tornado,F3,0,4,250.00K,0.00K
LIBERTY CENTER,WARREN CO.,IA,04/08/1999,16:25,CST,Tornado,F2,0,0,70.00K,0.00K
PRAIRIE CITY,JASPER CO.,IA,04/08/1999,16:46,CST,Tornado,F2,0,1,1.000M,0.00K
BLOOMFIELD,DAVIS CO.,IA,04/08/1999,17:15,CST,Tornado,F3,0,0,550.00K,0.00K
AGENCY,WAPELLO CO.,IA,04/08/1999,17:28,CST,Tornado,F2,0,0,100.00K,0.00K
BOSWORTH,CARROLL CO.,MO,4/8/1999,15:20,CST,Tornado,F2,0,0,300.00K,100.00K
TRIPLETT,CHARITON CO.,MO,4/8/1999,15:27,CST,Tornado,F2,0,0,600.00K,100.00K
NEW CAMBRIA,MACON CO.,MO,4/8/1999,16:03,CST,Tornado,F2,0,2,1.000M,400.00K
ATLANTA,MACON CO.,MO,4/8/1999,16:25,CST,Tornado,F2,0,0,500.00K,250.00K
NOVELTY,KNOX CO.,MO,4/8/1999,16:35,CST,Tornado,F2,0,0,500.00K,0.00K
MIDWAY,BOONE CO.,MO,4/8/1999,16:55,CST,Tornado,F2,0,5,0.00K,0.00K
LA BELLE,LEWIS CO.,MO,4/8/1999,17:05,CST,Tornado,F2,0,2,2.100M,0.00K
HINTON,BOONE CO.,MO,4/8/1999,17:05,CST,Tornado,F2,0,0,0.00K,0.00K
DUPONT,JEFFERSON CO.,IN,04/09/1999,2:56,EST,Tornado,F2,0,0,100.00K,0.00K
SAN JACINTO,JENNINGS CO.,IN,04/09/1999,3:00,EST,Tornado,F3,0,0,250.00K,0.00K
REXVILLE,RIPLEY CO.,IN,4/9/1999,3:05,EST,Tornado,F3,0,2,1.400M,0.00K
BLUE ASH,HAMILTON CO.,OH,04/09/1999,4:12,EST,Tornado,F4,4,65,82.000M,0.00K
MAINEVILLE,WARREN CO.,OH,04/09/1999,4:33,EST,Tornado,F2,0,0,2.500M,0.00K
DANNEBROG,HOWARD CO.,NE,04/21/1999,10:50,CST,Tornado,F2,0,0,100.00K,0.00K
KENESAW,ADAMS CO.,NE,05/02/1999,17:11,CST,Tornado,F2,0,0,300.00K,0.00K
ST LIBORY,HOWARD CO.,NE,05/02/1999,19:08,CST,Tornado,F2,0,0,250.00K,0.00K
TIFFIN,ST. CLAIR CO.,MO,5/4/1999,12:49,CST,Tornado,F3,0,1,50.00K,0.00K
ARTHUR,PIKE CO.,IN,05/05/1999,17:40,CST,Tornado,F2,0,0,15.00K,0.00K
CAMPBELLTOWN,PIKE CO.,IN,05/05/1999,17:45,CST,Tornado,F2,0,0,100.00K,0.00K
MISSOURI VLY,HARRISON CO.,IA,05/16/1999,14:45,CST,Tornado,F3,0,0,100.00K,0.00K
RICKETTS,CRAWFORD CO.,IA,05/16/1999,14:57,CST,Tornado,F2,0,0,500.00K,0.00K
MISSOURI VLY,HARRISON CO.,IA,05/16/1999,15:16,CST,Tornado,F3,2,16,1.900M,0.00K
TREYNOR,POTTAWATTAMIE CO.,IA,05/16/1999,16:14,CST,Tornado,F2,0,0,690.00K,0.00K
MIDLAND,MIDLAND CO.,MI,5/31/1999,17:38,EST,Tornado,F2,0,0,150.00K,0.00K
RAYMOND,MONTGOMERY CO.,IL,06/01/1999,17:58,CST,Tornado,F3,1,4,0.00K,0.00K
BROWNSTOWN,FAYETTE CO.,IL,06/01/1999,19:03,CST,Tornado,F2,0,0,0.00K,0.00K
TOWER HILL,SHELBY CO.,IL,06/01/1999,19:06,CST,Tornado,F2,0,4,2.000M,0.00K
ST JAMES,PHELPS CO.,MO,6/1/1999,17:20,CST,Tornado,F3,0,0,3.500M,0.00K
EDGAR SPGS,PHELPS CO.,MO,06/01/1999,18:10,CST,Tornado,F2,0,0,175.00K,0.00K
LECOMA,DENT CO.,MO,06/01/1999,18:15,CST,Tornado,F2,0,0,60.00K,0.00K
COMSTOCK,CUSTER CO.,NE,06/03/1999,21:35,CST,Tornado,F2,0,0,300.00K,0.00K
ORD,VALLEY CO.,NE,06/03/1999,22:20,CST,Tornado,F3,0,0,1.500M,1.000M
STEELE,KIDDER CO.,ND,06/03/1999,17:15,CST,Tornado,F2,0,0,400.00K,0.00K
THEDFORD,THOMAS CO.,NE,06/04/1999,20:10,CST,Tornado,F2,0,0,50.00K,0.00K
BROWNLEE,CHERRY CO.,NE,06/04/1999,20:22,CST,Tornado,F2,0,0,50.00K,0.00K
SLIM BUTTE,OGLALA LAKOTA CO.,SD,06/04/1999,17:30,MST,Tornado,F2,1,54,3.200M,0.00K
OGLALA,OGLALA LAKOTA CO.,SD,06/04/1999,17:40,MST,Tornado,F2,0,0,0.00K,0.00K
LANKIN,WALSH CO.,ND,06/06/1999,13:30,CST,Tornado,F2,0,0,15.00K,0.00K
LANKIN,WALSH CO.,ND,06/06/1999,13:40,CST,Tornado,F2,0,0,250.00K,0.00K
CRYSTAL,PEMBINA CO.,ND,06/06/1999,14:20,CST,Tornado,F4,0,0,1.000M,0.00K
APLINGTON,BUTLER CO.,IA,07/02/1999,20:45,CST,Tornado,F2,0,0,25.00K,1.00K
STOUT,GRUNDY CO.,IA,07/02/1999,20:54,CST,Tornado,F2,0,0,75.00K,3.00K
COMINS,OSCODA CO.,MI,7/3/1999,18:25,EST,Tornado,F2,0,2,1.500M,0.00K
LEWISTON,WINONA CO.,MN,07/08/1999,18:20,CST,Tornado,F2,0,2,2.000M,60.00K
OSLO,MARSHALL CO.,MN,07/14/1999,0:02,CST,Tornado,F2,0,0,100.00K,0.00K
ELLENDALE,DICKEY CO.,ND,07/27/1999,14:55,CST,Tornado,F2,0,0,800.00K,0.00K
SCARVILLE,WINNEBAGO CO.,IA,08/09/1999,20:02,CST,Tornado,F2,0,0,100.00K,10.00K
JOICE,WORTH CO.,IA,08/09/1999,20:22,CST,Tornado,F2,0,0,50.00K,5.00K
STREETER,STUTSMAN CO.,ND,08/15/1999,18:48,CST,Tornado,F2,0,0,80.00K,0.00K
MARION,LA MOURE CO.,ND,08/15/1999,19:58,CST,Tornado,F2,0,0,0.00K,0.00K
FT RANSOM,RANSOM CO.,ND,08/15/1999,20:13,CST,Tornado,F2,0,0,1.200M,0.00K
CIRCLEVILLE,PICKAWAY CO.,OH,10/13/1999,16:00,EST,Tornado,F3,0,6,4.000M,0.00K
SHAMROCK,MCLEAN CO.,IL,05/08/2000,22:14,CST,Tornado,F2,0,4,175.00K,0.00K
CEDAR FALLS,BLACK HAWK CO.,IA,05/11/2000,18:03,CST,Tornado,F3,1,25,1.750M,10.00K
DUNKERTON,BLACK HAWK CO.,IA,05/11/2000,18:55,CST,Tornado,F2,0,0,350.00K,5.00K
DUNKERTON,BLACK HAWK CO.,IA,05/11/2000,19:20,CST,Tornado,F2,0,0,300.00K,2.00K
GREENVILLE,BOND CO.,IL,05/12/2000,17:47,CST,Tornado,F2,0,0,0.00K,0.00K
BRADY,LINCOLN CO.,NE,05/17/2000,16:15,CST,Tornado,F3,0,2,750.00K,25.00K
SCIO,HARRISON CO.,OH,05/23/2000,15:40,EST,Tornado,F2,0,0,100.00K,0.00K
MARTEL,MARION CO.,OH,05/23/2000,17:30,EST,Tornado,F2,0,0,200.00K,0.00K
NORTH MANCHESTER,WABASH CO.,IN,06/14/2000,17:07,EST,Tornado,F2,0,3,700.00K,30.00K
SIDNEY,KOSCIUSKO CO.,IN,06/14/2000,17:12,EST,Tornado,F2,0,0,200.00K,10.00K
BUTLER CENTER,DE KALB CO.,IN,06/14/2000,18:00,EST,Tornado,F2,0,0,200.00K,0.00K
PATRIOT,GALLIA CO.,OH,6/15/2000,16:42,EST,Tornado,F2,0,0,100.00K,0.00K
VERNDALE,WADENA CO.,MN,07/08/2000,20:20,CST,Tornado,F2,0,3,500.00K,0.00K
STAPLES,TODD CO.,MN,07/08/2000,20:43,CST,Tornado,F2,0,1,0.00K,0.00K
MADISON,LAKE CO.,SD,07/11/2000,16:55,CST,Tornado,F2,0,0,50.00K,0.00K
GRANITE FALLS,YELLOW MEDICINE CO.,MN,07/25/2000,16:57,CST,Tornado,F4,1,15,20.000M,0.00K
ADRIAN,NOBLES CO.,MN,07/25/2000,19:10,CST,Tornado,F2,0,0,150.00K,0.00K
XENIA,GREENE CO.,OH,09/20/2000,18:18,EST,Tornado,F4,1,100,15.000M,0.00K
MONROEVILLE,HURON CO.,OH,09/20/2000,19:05,EST,Tornado,F2,0,1,250.00K,15.00K
MILAN,ERIE CO.,OH,9/20/2000,19:07,EST,Tornado,F2,0,0,175.00K,10.00K
HARLEM,DELAWARE CO.,OH,9/20/2000,19:31,EST,Tornado,F2,0,2,1.000M,0.00K
JOHNSTOWN,LICKING CO.,OH,9/20/2000,19:36,EST,Tornado,F2,0,0,1.000M,100.00K
DARR,DAWSON CO.,NE,10/31/2000,18:12,CST,Tornado,F2,0,0,125.00K,0.00K
OCONTO,CUSTER CO.,NE,10/31/2000,18:30,CST,Tornado,F2,0,0,2.000M,0.00K
BROKEN BOW,CUSTER CO.,NE,10/31/2000,19:00,CST,Tornado,F2,0,0,1.000M,0.00K
BISMARCK,BURLEIGH CO.,ND,11/01/2000,14:33,CST,Tornado,F2,0,0,55.00K,0.00K
LOWELLVILLE,MAHONING CO.,OH,4/9/2001,13:45,EST,Tornado,F2,0,0,200.00K,0.00K
MT AYR,RINGGOLD CO.,IA,04/11/2001,10:40,CST,Tornado,F3,0,0,1.500M,0.00K
AFTON,UNION CO.,IA,04/11/2001,11:10,CST,Tornado,F2,0,0,150.00K,0.00K
